lemma,inferred,segmentation,member1,member1_category,member1_subcategory,member2,member2_category,member2_subcategory,analysis_count,member_count
ἀρχέκακος,0,ἀρχέ+κακος,ἄρχω,v,thematic,κακόν,n,thematic,1,2
Ἀρχέλοχος,0,Ἀρχέ+λοχος,ἄρχω,v,thematic,λόχος,n,thematic,1,2
ἄσβεστος,0,ἄ+σβεστος,ἀ/ἀν,d,,σβέννυμι,v,athematic,1,2
ἀσήμαντος,0,ἀ+σήμαντος,ἀ/ἀν,d,,σημαίνω,v,thematic,1,2
ἀσκελής,0,ἀ+σκελής,ἀ/ἀν,d,,σκέλλω,v,thematic,1,2
ἄσκοπος ,0,ἄ+σκοπος ,ἀ/ἀν,d,,σκέπτομαι,v,thematic,1,2
ἄσπερμος,0,ἄ+σπερμος,ἀ/ἀν,d,,σπέρμα,n,n-stem,1,2
ἀσπερχής,0,ἀ+σπερχής,ἀ/ἀν,d,,σπέρχομαι,v,thematic,1,2
ἄσπετος,0,ἄ+σπετος,ἀ/ἀν,d,,ἔννεπε,v,?,1,2
Ἀστύαλος,0,Ἀστύ+αλος,ἄστυ,n,u-stem,ἅλς,n,l-stem,1,2
